,id,rn,pre_since_opened,pre_since_confirmed,pre_pterm,pre_fterm,pre_till_pclose,pre_till_fclose,pre_loans_credit_limit,pre_loans_next_pay_summ,pre_loans_outstanding,pre_loans_total_overdue,pre_loans_max_overdue_sum,pre_loans_credit_cost_rate,pre_loans5,pre_loans530,pre_loans3060,pre_loans6090,pre_loans90,is_zero_loans5,is_zero_loans530,is_zero_loans3060,is_zero_loans6090,is_zero_loans90,pre_util,pre_over2limit,pre_maxover2limit,is_zero_util,is_zero_over2limit,is_zero_maxover2limit,enc_paym_0,enc_paym_1,enc_paym_2,enc_paym_3,enc_paym_4,enc_paym_5,enc_paym_6,enc_paym_7,enc_paym_8,enc_paym_9,enc_paym_10,enc_paym_11,enc_paym_12,enc_paym_13,enc_paym_14,enc_paym_15,enc_paym_16,enc_paym_17,enc_paym_18,enc_paym_19,enc_paym_20,enc_paym_21,enc_paym_22,enc_paym_23,enc_paym_24,enc_loans_account_holder_type,enc_loans_credit_status,enc_loans_credit_type,enc_loans_account_cur,pclose_flag,fclose_flag
10,1,1,8,7,12,15,9,1,1,2,4,0,1,4,6,16,5,4,8,1,1,0,0,0,2,10,8,0,0,0,0,3,3,3,3,3,3,3,3,2,0,1,0,0,0,0,0,0,0,0,1,0,3,3,4,1,3,4,1,0,0
11,1,2,8,7,13,2,9,1,6,2,3,0,1,4,6,16,5,4,8,1,1,0,0,0,0,0,10,0,0,0,0,3,3,3,3,3,3,2,0,0,0,1,0,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
12,1,3,15,7,7,6,9,1,6,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
13,1,4,15,3,7,6,9,1,6,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,1,1,0,0
14,1,5,14,4,7,6,9,1,3,2,3,0,2,4,6,16,5,4,8,1,0,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,4,1,0,0
15,1,6,14,14,1,0,13,13,0,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
16,1,7,14,3,8,11,6,13,6,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,1,1,0,0
17,1,8,10,14,2,14,13,5,14,0,3,0,2,4,6,16,5,4,8,1,0,1,1,0,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,1,3,4,1,0,0
18,1,9,10,14,15,9,13,3,10,2,3,0,2,4,6,16,5,4,8,0,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
19,1,10,13,6,0,1,14,8,16,4,2,0,2,0,6,16,5,4,8,1,0,1,1,1,3,2,17,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,1,0,0
20,1,11,18,8,1,16,15,14,15,5,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,4,1,0,0
21,1,12,2,5,15,9,7,15,19,2,3,0,2,7,6,16,5,4,8,0,1,1,1,1,16,2,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,1,1,0,0
22,1,13,7,9,4,8,1,11,1,1,2,0,3,0,6,16,5,4,8,1,0,1,1,1,6,2,17,0,1,0,0,1,1,0,0,0,0,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,1,1
23,1,14,12,6,1,8,14,11,11,2,3,0,2,5,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,0,1
